Column1,287C-Caecum_IgA,290B-Transverse_IgG,290B-Sigmoid_IgA,290B-Sigmoid_IgG,296B-Caecum_IgA,296C-Caecum_IgG,296C-Transverse_IgA,296C-Transverse_IgG,296C-Sigmoid_IgA,296C-Sigmoid_IgG,298C-Caecum_IgA,287C-Caecum_IgG,298C-Caecum_IgG,298C-Transverse_IgA,298C-Transverse_IgG,298C-Sigmoid_IgA,298C-Sigmoid_IgG,302C-Caecum_IgA,302C-Caecum_IgG,302C-Transverse_IgA,302C-Transverse_IgG,302C-Sigmoid_IgA,287C-Transverse_IgA,302C-Sigmoid_IgG,312C-Caecum_IgA,312C-Caecum_IgG,312C-Transverse_IgA,312C-Transverse_IgG,312C-Sigmoid_IgA,312C-Sigmoid_IgG,D8-fecal_IgA,D8-fecal_IgG,D8-fecal_IgG2,287C-Transverse_IgG,287C-Sigmoid_IgA,287C-Sigmoid_IgG,290B-Caecum_IgA,290B-Caecum_IgG,290B-Transverse_IgA
Lactobacillus fermentum,302,7,45,19,23,123,37,39,5,2,320,0,199,5,43,102,212,5,71,112,14,14,419,21,17,8,15,13,3,11,17,9,2,366,9,16,300,674,20
Bacillus licheniformis,9,28,10,20,11,6,22,4,236,71,19,0,31,4,74,20,27,3,4,127,578,7,12,20,38,59,60,68,4,57,10,2,1856,10,7,18,9,9,68
Coraliomargarita akajimensis,3,39,12,16,6,9,5,2,7,6,6,0,5,71,26,37,16,6,18,33,66,66,10,38,469,312,572,416,595,377,60,17,228,6,4,15,1,8,34
Halomonas lutea,16,214,81,135,72,44,123,58,91,74,41,0,24,290,245,67,46,20,21,227,277,51,71,60,72,90,85,65,63,150,71,49,2,57,109,235,13,14,192
Rhodothermus marinus,12,61,142,489,20,39,16,31,48,33,29,0,32,206,167,57,58,64,73,151,372,200,66,152,104,134,141,120,37,106,105,52,2,70,19,55,33,35,70
Caldilinea aerophila,9,180,62,75,17,18,27,13,81,29,24,0,17,183,101,23,15,10,4,236,1206,68,37,66,148,145,175,169,42,84,54,31,1,59,14,41,20,7,94
Haematomicrobium sanguinis,8,52,115,141,14,15,20,8,130,31,14,0,7,84,81,17,17,7,5,388,1258,62,14,34,137,113,172,131,169,86,35,30,0,10,56,43,2,5,70
Deinococcus apachensis,4,103,91,186,10,19,31,33,36,19,32,0,53,84,64,49,33,4,7,127,288,30,25,53,490,229,280,257,281,240,57,35,0,31,14,81,15,17,152
Actinopolyspora halophila,9,164,51,78,8,21,20,17,57,20,7,0,6,172,91,24,21,5,5,292,530,37,31,28,252,175,299,243,288,165,36,27,1,57,16,76,3,15,158
Desulfobulbus propionicus,8,124,65,65,40,30,57,35,47,35,21,0,24,217,140,44,44,18,22,92,253,63,38,69,231,222,281,251,338,164,79,40,1,18,27,99,18,12,128
Tsukamurella paurometabola,2,94,113,445,31,79,35,64,84,45,17,0,22,171,182,32,36,13,10,358,662,45,8,45,51,41,59,41,26,69,30,43,0,9,23,103,7,13,323
Streptococcus porci,3,40,71,28,7,25,3,9,41,8,42,0,45,49,133,54,59,11,4,57,341,11,3,24,18,7,5,2,0,13,45,26,1,1,9,16,1001,1199,19
Oceanithermus profundus,5,125,46,373,25,46,42,70,54,34,23,0,23,187,138,33,39,20,19,269,349,132,27,91,149,176,192,145,53,154,48,38,2,8,28,73,11,8,164
Peptoniphilus asaccharolyticus,17,22,113,51,28,14,8,10,31,24,44,0,56,45,32,17,28,46,25,121,51,331,32,310,32,106,38,65,19,21,82,42,0,30,18,55,733,634,81
Oribacterium parvum,24,21,116,18,39,51,48,130,5,6,107,0,168,51,72,134,146,124,82,14,29,219,42,173,107,96,121,76,138,101,334,90,0,30,5,9,258,151,72
Deinococcus maricopensis,3,181,104,172,32,68,57,99,54,37,20,0,20,184,159,41,39,18,26,140,234,122,31,114,195,132,175,148,167,172,75,26,0,27,34,144,26,15,110
Anaeroglobus geminatus,11,22,68,3,7,7,15,9,41,1,321,0,470,62,109,253,340,90,123,422,29,88,31,272,80,108,62,82,10,21,57,27,23,26,9,5,25,8,16
Actinomyces europaeus,30,80,68,73,38,37,30,58,56,33,131,0,179,63,240,307,266,6,7,594,359,30,23,40,16,29,7,15,20,59,11,55,0,128,14,78,14,18,118
Desulfococcus multivorans,4,125,57,49,20,29,21,43,145,17,31,0,46,19,63,67,60,13,30,254,791,64,12,77,176,190,216,203,169,92,59,21,0,13,25,38,10,13,66
Bacillus niabensis,4,78,28,104,5,7,6,6,40,15,61,0,57,140,92,49,51,90,82,502,266,12,7,170,90,39,111,78,131,75,34,28,733,4,3,41,2,7,75
Thermus antranikianii,0,252,128,120,16,27,15,38,30,12,9,0,6,145,150,26,20,6,0,1585,185,5,2,5,36,36,32,43,8,75,46,40,0,3,9,53,6,9,140
Granulicatella elegans,5,85,83,80,31,8,20,4,71,28,48,0,44,175,135,25,43,81,81,118,200,18,6,63,28,53,23,24,4,23,45,16,0,2,6,48,846,626,107
Gordonia kroppenstedtii,4,153,87,247,14,27,38,11,99,45,16,0,26,192,187,21,26,7,14,454,653,61,3,56,35,29,27,21,23,94,10,29,0,13,23,140,17,17,363
Prevotella oralis,2,60,42,18,11,8,12,7,43,8,8,0,13,39,28,26,16,403,445,17,68,530,1,644,118,131,249,138,49,70,6,3,0,3,14,12,1,2,35
Carboxydocella ferrireducens,8,17,22,17,10,23,15,20,9,2,34,0,62,0,81,30,37,31,39,34,92,20,17,46,26,56,40,61,7,17,62,36,2204,16,0,2,21,24,29
Aerococcus viridans,21,279,157,195,5,158,14,6,75,22,32,0,40,171,397,28,26,35,34,140,593,28,33,96,23,67,29,57,7,83,24,23,3,31,11,30,41,63,186
Thermaerobacter subterraneus,14,138,99,102,34,86,35,86,51,39,79,0,85,117,130,108,105,23,42,142,275,85,34,84,152,197,145,160,65,126,85,44,0,45,29,52,23,40,101
Peptostreptococcus anaerobius,20,18,22,10,88,57,93,114,2,6,188,0,182,7,24,87,61,53,54,541,9,352,27,399,34,50,30,31,353,102,21,7,1,26,4,10,72,28,61
Corynebacterium efficiens,9,67,135,99,21,16,15,23,187,38,17,0,19,105,89,22,18,52,21,426,1087,28,5,26,59,48,49,42,11,110,36,31,1,12,45,61,14,9,190
Mogibacterium timidum,77,11,20,15,8,29,8,19,81,37,17,0,40,60,17,48,92,62,51,29,23,421,102,590,84,152,109,92,75,60,135,31,0,322,4,10,196,84,22
Prolixibacter bellariivorans,0,151,129,125,31,10,42,17,115,53,16,0,20,78,89,59,24,172,181,59,158,135,10,153,177,181,211,116,90,68,5,16,244,5,94,58,15,4,121
Bifidobacterium magnum,4,63,29,38,22,110,33,92,49,33,237,0,261,64,137,603,423,20,27,111,299,45,15,54,64,61,34,30,33,41,30,27,0,13,13,26,7,3,51
Oribacterium sinus,4,16,46,6,30,50,26,80,9,3,27,0,42,170,34,65,80,28,15,16,22,41,15,53,51,83,72,73,22,15,74,14,62,21,4,58,1108,660,3
Lactobacillus delbrueckii,10,44,4,47,6,1596,19,191,7,6,10,0,17,24,103,20,23,6,6,24,20,20,25,20,101,143,161,127,105,58,50,25,0,28,2,9,39,52,50
Caldicellulosiruptor acetigenus,1,172,103,187,50,29,34,17,126,85,45,0,41,118,139,29,30,52,59,85,35,80,3,137,224,276,195,162,39,76,49,47,1,5,139,98,7,11,188
Bacillus idriensis,4,77,46,98,4,6,7,8,40,56,18,0,27,78,64,22,27,41,10,504,475,3,8,19,2,11,36,6,2,16,14,19,1215,6,7,34,55,27,62
Deinococcus aquatilis,14,71,137,77,11,18,22,16,20,10,10,0,19,28,406,26,22,8,2,91,117,13,9,19,296,211,275,225,317,138,107,53,0,13,11,38,7,6,273
Desulfovibrio oxyclinae,2,24,72,68,14,22,30,19,26,15,22,0,29,66,54,56,63,6,10,50,118,51,22,31,355,364,402,311,281,150,146,72,0,31,13,42,11,9,37
Selenomonas infelix,4,55,154,69,23,55,18,64,53,11,50,0,77,57,60,40,62,16,37,84,50,215,12,171,127,181,137,131,39,114,151,72,0,16,13,46,391,125,88
Hymenobacter roseosalivarius,11,204,65,114,31,16,44,17,36,9,20,0,21,258,304,27,23,7,7,447,242,15,15,11,175,115,141,103,10,174,44,36,1,9,10,77,24,14,179
Cardiobacterium valvarum,8,107,90,70,25,45,33,38,40,22,31,0,43,217,134,42,57,6,7,243,124,17,21,10,219,196,267,228,278,155,63,32,0,16,9,65,3,20,72
Corynebacterium striatum,2,93,77,552,36,20,25,8,286,114,15,0,18,117,177,7,20,6,4,324,406,9,4,6,64,79,62,35,18,158,24,41,0,11,42,46,4,7,119
Sphingobacterium spiritivorum,3,167,113,123,31,11,30,6,235,37,21,0,15,100,95,31,25,28,40,222,1063,45,13,75,10,8,15,5,3,41,20,46,6,8,71,82,8,5,176
Prevotella salivae,6,15,6,12,37,12,52,26,20,13,0,0,2,916,22,5,1,408,435,58,22,342,2,354,30,31,62,39,8,7,32,2,0,4,2,5,3,2,22
Corynebacterium massiliense,2,93,79,340,25,43,23,61,122,57,13,0,4,76,79,12,23,15,24,269,681,133,9,113,61,64,89,50,21,104,33,53,0,8,31,75,9,9,108
Neisseria bacilliformis,7,155,81,197,29,32,52,28,47,32,38,0,42,168,142,39,49,10,16,117,213,49,16,55,140,119,160,104,141,154,40,29,1,24,28,256,19,15,147
Deinococcus marmoris,10,127,97,59,13,25,24,78,33,19,20,0,31,115,195,22,37,23,20,150,324,51,17,40,273,124,155,155,218,163,40,23,0,25,21,103,15,16,124
Segniliparus rugosus,6,93,62,202,22,77,30,115,71,29,20,0,23,64,109,24,42,11,6,246,540,19,6,23,125,118,159,155,135,153,23,17,0,7,14,71,25,18,121
Porphyromonas gingivalis,2,25,11,28,23,16,40,10,25,11,223,0,150,98,117,532,418,194,186,34,74,159,2,193,45,37,88,61,17,37,12,9,0,5,5,7,2,7,72
Capnocytophaga gingivalis,0,71,35,38,18,16,15,9,36,18,3,0,2,1095,37,2,5,138,69,58,80,86,0,83,96,71,128,74,123,65,13,14,262,0,9,49,2,6,75
Arthrobacter castelli,3,131,70,95,22,18,48,6,95,34,21,0,22,67,143,34,30,8,7,373,858,30,17,35,68,43,63,52,26,61,34,28,1,11,19,89,7,19,208
Flavobacterium denitrificans,0,109,122,94,33,12,47,15,214,47,10,0,7,59,161,43,30,51,57,184,888,42,4,76,32,15,14,3,8,94,11,23,1,8,68,81,31,19,179
Gordonia shandongensis,4,129,89,63,20,39,23,51,103,53,19,0,24,75,163,27,29,7,4,354,916,44,42,32,19,19,14,6,3,78,37,43,0,32,27,82,12,7,198
Desulfobulbus mediterraneus,7,64,60,21,5,17,12,21,26,17,10,0,30,67,64,35,36,6,7,38,152,22,9,20,359,286,402,319,375,174,77,18,0,8,3,30,10,9,55
Spongiibacter tropicus,3,138,64,76,50,34,76,34,51,42,41,0,44,253,147,44,28,37,39,166,130,92,23,117,110,88,140,99,151,181,13,9,1,15,56,136,8,5,126
Prevotella dentalis,2,0,12,1,6,36,7,48,24,6,2,0,1,15,15,0,1,259,447,12,15,826,1,927,36,26,65,36,10,7,3,2,0,1,1,2,1,1,1
Belliella baltica,0,305,238,227,20,13,28,12,145,43,18,0,9,75,125,9,7,18,12,97,544,33,1,62,62,52,26,13,72,76,8,26,0,2,84,76,12,17,269
Dysgonomonas mossii,1,51,80,31,50,36,82,21,168,41,40,0,31,187,204,178,91,84,65,97,110,100,2,115,97,63,33,12,28,75,5,39,253,4,130,125,6,2,90
Prevotella nanceiensis,0,45,9,13,25,2,7,2,28,15,9,0,9,1175,33,43,33,115,157,76,42,231,5,309,72,86,95,51,36,29,5,10,0,7,0,21,9,4,17
Ponticaulis koreensis,3,118,18,148,15,17,17,7,36,17,25,0,17,174,76,51,26,30,32,68,124,35,7,71,241,153,292,219,341,194,58,46,0,3,16,37,12,8,70
Catelliglobosispora koreensis,3,105,61,408,7,7,12,13,88,21,12,0,12,101,99,28,24,5,5,274,743,11,5,18,43,33,27,12,9,43,18,23,341,6,10,100,5,4,83
Anaerococcus lactolyticus,18,62,92,81,61,32,49,25,115,54,24,0,53,105,153,19,14,23,37,100,30,225,56,167,122,111,63,56,37,46,23,48,242,58,103,133,39,16,84
Segniliparus rotundus,6,36,50,248,20,7,25,8,32,19,18,0,39,105,119,14,14,5,4,160,294,16,32,11,253,171,255,198,286,134,27,18,0,30,25,50,2,3,39
Cardiobacterium hominis,11,108,54,161,30,21,34,33,85,57,37,0,40,82,126,22,24,27,34,130,227,86,23,78,76,81,87,68,38,80,31,27,27,18,44,140,11,8,492
Mycoplasma cricetuli,0,106,104,124,50,21,45,10,188,89,39,0,38,139,211,20,12,61,70,95,22,101,2,156,133,119,48,12,30,109,3,62,0,3,203,160,8,4,146
Streptococcus intermedius,10,22,32,45,10,10,13,27,29,17,4,0,9,27,36,4,7,35,118,38,34,22,11,104,257,444,136,147,6,25,40,2,0,9,7,30,452,453,55
Neisseria sicca,4,80,20,60,73,9,24,2,103,140,9,0,1,485,179,6,8,3,7,251,40,25,3,24,169,197,184,159,144,114,53,23,0,2,5,41,1,7,72
Staphylococcus xylosus,15,206,104,191,22,16,23,11,38,49,45,0,25,170,261,26,34,39,36,250,125,11,47,50,19,31,16,12,5,96,14,52,223,146,30,89,9,25,166
Deinococcus hopiensis,14,73,40,408,31,58,47,74,49,17,37,0,38,103,59,51,62,14,21,115,197,86,75,69,239,88,93,101,77,82,47,26,0,60,39,44,11,6,75
Microbulbifer variabilis,3,74,42,36,24,10,14,11,17,19,17,0,23,28,55,21,20,13,9,54,78,62,8,40,245,130,297,197,279,167,35,20,526,8,16,28,6,9,81
Streptococcus dysgalactiae,20,57,56,151,4,27,18,5,6,13,12,0,7,76,114,10,19,4,2,69,35,33,10,208,15,6,24,6,2,113,33,30,0,10,14,35,769,670,37
Geopsychrobacter electrodiphilus,8,88,46,127,19,23,23,18,26,21,33,0,37,300,77,22,31,29,38,63,130,96,31,95,201,147,222,169,107,86,64,27,3,36,23,59,6,19,156
Selenomonas artemidis,3,61,40,33,39,31,39,19,65,57,29,0,28,149,146,21,30,32,21,101,89,67,5,64,195,157,176,157,211,190,38,55,5,7,112,59,10,29,126
Treponema phagedenis,2,186,163,185,32,12,36,6,138,78,27,0,40,74,146,14,7,50,36,80,34,96,9,90,136,132,108,70,38,77,36,30,1,10,129,95,17,13,225
Succinispira mobilis,6,23,47,17,4,4,0,4,2,0,156,0,118,137,92,96,110,182,215,19,26,29,30,409,16,36,38,22,11,0,102,47,505,21,2,1,34,36,26
Alicyclobacillus acidocaldarius,9,258,83,87,13,93,29,107,40,29,42,0,33,183,71,57,47,6,18,105,232,62,21,43,59,137,99,119,11,55,52,46,144,24,9,55,35,30,78
Streptococcus hyovaginalis,13,108,113,83,8,24,8,10,22,6,16,0,10,25,66,32,30,2,4,46,138,23,0,37,7,8,9,2,0,30,65,28,188,2,3,20,585,738,109
Saccharomonospora viridis,7,93,82,98,15,28,36,24,131,37,75,0,6,136,133,9,16,7,7,323,794,15,21,20,34,27,22,19,4,85,16,20,0,11,27,90,6,8,132
Micrococcus lylae,2,131,47,87,57,47,19,40,44,33,22,0,28,119,214,29,31,13,1,408,236,8,6,10,59,64,15,17,3,170,26,21,0,2,9,87,3,15,478
Aliagarivorans marinus,15,99,77,100,52,36,103,37,77,29,32,0,16,142,94,40,33,38,36,65,104,69,35,49,91,90,193,114,190,117,66,29,1,29,58,83,9,7,143
Bacillus bogoriensis,4,77,31,60,3,7,2,6,28,10,49,0,65,60,115,29,36,53,55,61,163,59,5,131,21,29,11,14,4,26,11,16,1279,14,2,22,6,13,19
Catonella morbi,13,6,55,9,18,27,24,58,80,29,91,0,95,25,7,110,95,95,110,8,11,96,30,151,64,131,83,111,322,125,66,24,6,41,3,7,204,93,66
Maritalea myrionectae,3,127,71,55,10,39,31,17,24,33,18,0,25,386,138,22,17,20,17,114,75,23,12,26,131,151,137,152,151,165,39,38,0,13,27,101,23,23,132
Terrisporobacter glycolicus,8,43,68,57,7,11,10,18,25,13,77,0,75,111,90,70,68,112,469,45,50,19,23,121,109,253,128,159,5,1,66,37,0,60,25,69,9,3,56
Gemella cuniculi,1,62,15,170,1,4,7,4,10,6,25,0,17,41,62,25,15,27,46,29,79,33,1,66,6,12,10,6,5,1,6,18,815,3,13,31,190,646,39
Clostridium ventriculi,39,48,37,40,5,17,7,19,8,10,128,0,73,98,67,91,56,162,114,23,12,41,158,191,165,277,127,167,9,12,107,41,0,111,9,35,5,5,24
Haemophilus sputorum,1,45,21,63,83,4,36,15,28,20,1,0,6,1360,107,5,5,42,100,46,10,7,1,55,22,216,28,24,18,44,12,10,0,1,5,26,3,6,53
Neisseria meningitidis,4,168,153,122,32,20,31,24,179,78,30,0,36,212,137,20,14,27,27,96,31,56,7,91,81,67,46,18,23,103,26,37,1,9,129,148,12,13,218
Eikenella corrodens,3,72,38,62,36,20,45,24,46,26,13,0,17,134,59,20,16,13,9,163,105,17,22,14,171,171,234,163,248,216,78,29,3,9,25,66,17,17,75
Woodsholea maritima,3,144,69,198,12,16,22,9,29,11,21,0,18,467,204,13,12,7,4,121,144,12,9,18,18,23,30,30,39,174,12,30,264,7,14,135,13,12,130
Desulfovibrio alaskensis,7,45,55,27,20,33,29,41,30,25,26,0,36,66,35,31,41,69,49,44,184,33,23,36,232,228,261,189,221,139,43,22,0,20,14,43,34,10,38
Deinococcus peraridilitoris,1,86,33,272,12,10,22,14,29,17,13,0,45,71,72,16,34,24,54,138,184,124,17,121,143,129,155,149,175,87,24,24,3,22,18,60,13,10,52
Succinatimonas hippei,2,19,2,0,4,4,11,6,5,3,13,0,23,8,5,30,22,13,30,4,14,64,8,62,414,516,421,366,92,225,32,15,0,11,2,1,8,3,13
Bacillus aryabhattai,1,119,108,145,12,6,6,5,125,18,20,0,23,132,154,17,9,25,22,157,254,4,10,67,7,4,3,3,1,42,25,32,656,3,13,66,17,19,124
Kingella denitrificans,3,39,80,104,22,13,36,17,37,27,20,0,10,50,55,13,17,98,79,109,181,74,14,74,155,133,214,161,230,146,28,19,0,16,12,49,16,16,59
Exiguobacterium marinum,8,73,54,119,14,3,11,9,35,10,127,0,234,178,146,46,100,17,35,118,104,10,7,84,21,17,2,9,1,36,8,23,573,15,6,47,2,3,116
Enterococcus italicus,75,151,102,133,11,5,6,2,77,6,38,0,58,159,131,39,29,6,1,169,557,13,84,18,5,4,0,4,0,34,5,22,27,108,23,44,58,79,115
Truepera radiovictrix,6,340,30,364,18,50,22,73,51,20,15,0,24,77,91,28,22,2,8,88,301,36,14,37,54,66,88,58,104,72,13,25,1,7,11,67,7,9,86
Leeia oryzae,8,90,55,324,62,30,86,43,25,44,46,0,16,144,137,41,35,16,11,92,83,50,51,35,47,51,97,82,126,72,28,28,0,33,53,135,11,18,78
Bifidobacterium gallicum,5,10,18,39,13,56,11,29,15,9,271,0,313,54,129,409,331,5,15,22,93,50,19,24,25,46,59,47,5,34,120,30,2,7,0,8,7,6,38
Meiothermus cateniformans,3,21,5,25,6,13,4,14,79,12,21,0,24,32,13,40,42,3,2,128,303,9,24,19,230,174,266,230,236,161,73,37,0,21,5,14,3,8,59
Desulfovibrio gracilis,37,24,11,66,7,9,10,9,14,4,9,0,9,16,13,18,10,11,15,19,52,26,121,18,271,232,334,256,337,129,44,17,9,122,6,28,19,6,17
Deinococcus proteolyticus,5,66,36,206,10,23,21,19,22,8,34,0,59,72,83,65,56,11,20,118,138,30,30,38,178,132,199,117,183,104,54,20,0,42,11,49,22,15,46
Rubrobacter radiotolerans,3,32,51,408,10,27,9,38,26,6,14,0,20,60,157,29,44,1,5,125,241,22,8,27,156,121,171,129,142,88,53,14,0,12,4,41,2,2,44
Marinithermus hydrothermalis,12,49,17,173,17,24,30,18,19,15,25,0,21,33,26,21,36,5,6,456,179,27,56,15,160,128,174,130,166,84,33,15,3,57,8,37,7,2,34
Anaerococcus octavius,8,56,37,377,23,5,15,3,112,41,64,0,57,152,221,49,52,55,43,140,47,51,21,149,28,88,14,15,3,66,31,38,0,43,17,38,9,18,120
Neisseria cinerea,5,66,64,66,36,22,62,8,218,137,50,0,46,194,159,33,26,29,37,76,79,72,8,109,82,76,17,6,20,51,12,44,0,11,129,107,7,13,119
Rubinisphaera brasiliensis,1,29,30,55,3,8,11,4,27,9,11,0,4,12,33,2,10,2,4,96,196,31,2,12,261,199,322,245,367,119,35,24,3,2,19,20,4,3,57
Brevibacterium mcbrellneri,3,136,117,110,104,7,25,5,60,68,7,0,11,120,121,5,6,19,5,239,380,11,9,15,38,64,24,29,5,41,6,31,103,9,27,88,5,10,205
Sphaerobacter thermophilus,6,111,31,57,24,61,37,79,49,22,27,0,30,204,87,31,46,16,16,169,369,73,18,54,102,89,100,60,20,48,24,26,2,29,20,63,3,5,53
Demetria terragena,9,117,59,251,15,13,15,13,80,18,13,0,7,45,97,15,23,6,0,205,745,14,37,10,17,21,12,12,1,37,28,19,0,44,20,86,7,10,118
Deinococcus murrayi,8,52,58,274,10,30,70,51,44,14,9,0,10,92,67,16,17,11,25,117,344,103,26,73,199,48,48,46,20,39,75,41,1,39,12,52,16,16,66
Peptoniphilus lacrimalis,22,48,85,104,6,11,13,10,32,15,24,0,45,49,76,13,25,23,13,82,42,111,30,86,47,112,44,59,69,60,50,22,478,38,9,59,61,94,70
Carnimonas nigrificans,11,35,29,44,46,24,59,46,46,21,40,0,34,87,90,46,31,25,24,22,64,30,36,38,167,102,202,148,187,88,49,28,59,24,54,92,17,8,62
Thiothrix lacustris,16,58,25,47,44,13,53,24,76,8,15,0,8,32,92,19,13,55,42,43,526,53,51,50,34,76,72,56,62,77,24,9,249,29,29,43,26,5,47
Lactobacillus plantarum,307,23,10,24,12,72,65,6,12,5,25,0,29,17,53,10,31,6,42,32,84,18,332,31,4,2,6,2,2,45,4,3,1,411,3,25,207,203,10
Actinomyces neuii,9,27,43,79,13,27,31,27,61,23,18,0,21,43,47,27,18,3,11,129,377,12,13,26,108,120,160,123,147,107,43,24,0,15,9,24,19,101,86
Turneriella parva,2,19,6,26,2,0,10,2,9,1,6,0,1,16,15,24,5,3,4,22,132,2,3,3,314,208,369,280,402,162,42,21,0,1,3,27,1,0,23
Bifidobacterium tsurumiense,4,5,11,0,12,20,4,3,16,4,325,0,323,46,79,518,335,31,31,13,115,16,48,31,21,16,10,11,3,16,14,11,0,43,4,6,0,5,10
Peptoniphilus koenoeneniae,7,29,68,45,7,4,1,2,20,5,23,0,21,46,48,10,18,77,74,76,51,135,38,248,102,142,104,109,166,96,95,41,0,30,11,27,71,47,59
Gelidibacter mesophilus,1,193,162,140,20,18,19,2,140,33,24,0,19,134,152,32,13,21,21,84,144,54,2,61,67,43,17,11,19,70,12,43,0,4,90,79,9,11,182
Corynebacterium ciconiae,8,70,54,78,12,6,17,6,116,32,20,0,35,94,37,20,20,3,10,224,627,32,50,20,41,79,53,57,12,42,20,18,1,60,27,34,11,6,92
Corynebacterium glucuronolyticum,9,29,93,150,22,19,40,13,126,23,18,0,24,54,109,25,33,28,27,167,480,25,19,27,64,57,36,37,13,59,32,29,1,19,24,54,10,11,134
Halomonas zhanjiangensis,11,100,57,111,40,35,69,15,30,34,24,0,12,206,160,31,19,13,13,98,60,47,48,21,70,100,119,97,38,82,30,17,0,50,38,88,8,8,139
Aminomonas paucivorans,17,60,18,47,14,24,28,25,38,14,34,0,58,50,26,100,107,7,7,68,270,43,49,37,104,137,175,153,97,77,66,28,5,81,2,21,7,4,37
Atopobium rimae,2,3,59,9,43,307,66,437,127,45,29,0,46,11,13,50,61,35,54,11,31,65,8,77,83,101,70,77,13,30,70,21,0,9,1,12,15,12,19
Corynebacterium capitovis,5,86,59,83,10,9,13,6,102,29,12,0,11,57,51,23,20,4,2,248,654,6,22,9,23,28,22,15,4,47,6,12,184,45,20,46,10,13,122
Listeria grayi,5,55,23,26,3,11,4,8,14,6,19,0,20,23,42,13,18,63,48,44,53,23,5,144,27,6,4,10,2,17,17,10,1099,7,6,16,70,140,16
Bacteroides coprosuis,2,15,19,34,12,3,18,5,24,7,47,0,33,59,60,203,133,224,255,60,104,213,3,224,44,42,64,38,55,23,2,9,0,1,4,14,6,7,43
Anaerococcus vaginalis,2,62,43,101,14,9,11,20,15,25,19,0,17,81,71,21,24,44,37,888,26,26,5,73,38,116,37,70,11,18,18,12,0,6,16,28,20,19,58
Streptococcus henryi,2,77,99,78,7,16,16,1,45,4,8,0,5,78,87,14,10,64,61,88,321,9,2,113,10,10,4,8,2,35,19,18,0,2,1,13,286,434,46
Brachyspira alvinipulli,1,216,119,91,36,19,43,12,124,60,31,0,20,103,66,19,13,33,37,49,32,63,0,75,93,72,31,14,31,55,7,28,1,0,144,114,11,5,217
Streptococcus gallolyticus,4,11,26,7,1,7,7,4,29,9,12,0,12,9,56,23,25,2,2,60,268,30,0,24,5,3,11,7,0,0,37,10,2,0,1,1,589,775,10
Anaerofustis stercorihominis,21,54,63,48,30,80,35,128,6,5,74,0,75,90,88,51,70,81,117,61,17,52,65,98,59,81,66,48,10,18,99,44,2,59,1,21,28,20,113
Dermabacter hominis,2,93,67,70,8,19,22,11,106,37,9,0,6,101,125,7,17,5,3,216,630,8,3,10,19,65,39,40,8,50,13,21,0,1,12,45,5,9,170
Vibrio cholerae,3,190,113,138,25,10,30,14,32,30,5,0,6,213,156,16,17,14,10,107,53,29,17,19,39,39,88,78,126,87,12,37,65,19,22,43,11,4,143
Leuconostoc mesenteroides,29,58,56,32,59,62,26,33,137,19,17,0,10,81,169,14,26,16,27,64,225,31,1,43,29,18,36,6,10,34,22,15,0,5,38,42,207,147,213
Streptococcus peroris,6,46,49,43,6,7,9,1,12,8,9,0,6,455,69,13,7,8,26,41,16,11,1,23,4,21,13,6,16,4,18,7,178,2,6,28,379,463,28
Marinobacter daepoensis,13,118,53,59,58,39,96,46,58,46,32,0,37,170,98,58,27,19,17,63,101,57,49,40,34,49,54,46,55,58,33,17,20,34,84,69,8,12,111
Pararheinheimera texasensis,5,74,65,83,23,15,34,9,40,34,15,0,10,119,165,14,9,32,53,66,126,32,15,32,88,71,113,92,115,76,15,33,0,9,17,48,6,7,271
Propionimicrobium lymphophilum,0,26,64,84,20,17,15,6,84,12,9,0,12,15,99,23,8,7,12,299,660,8,4,24,57,72,73,41,22,65,33,27,0,3,9,71,7,14,29
Streptococcus constellatus,3,8,18,22,4,7,9,12,33,16,6,0,31,3,34,10,24,9,49,31,3,36,8,97,368,530,169,210,2,41,16,0,1,4,4,13,83,96,15
Staphylococcus caprae,27,116,37,145,19,4,22,5,107,56,24,0,10,61,229,12,5,19,14,220,84,20,56,47,17,11,3,1,1,44,20,31,2,197,5,69,7,12,265
Meiothermus silvanus,2,74,12,52,11,21,23,20,65,12,17,0,17,79,79,23,29,3,2,298,716,8,13,10,37,52,39,34,22,97,7,16,0,11,23,28,7,3,58
Salisaeta longa,4,55,136,193,9,10,6,4,19,7,23,0,20,93,22,10,9,112,112,85,199,107,9,104,38,58,53,53,12,20,137,98,0,10,3,51,16,47,43
Haemophilus parahaemolyticus,0,278,166,184,38,12,9,2,52,61,5,0,4,206,140,2,2,16,11,53,36,15,0,25,33,52,20,9,8,58,16,8,106,1,31,43,8,21,217
Flavobacterium soli,0,119,133,98,11,13,20,0,162,45,6,0,2,51,62,2,3,1,1,132,685,30,1,24,17,20,18,8,3,18,12,22,1,2,46,42,8,5,107
Prevotella amnii,2,8,23,7,1,5,1,3,8,8,2,0,0,131,12,12,11,118,175,241,5,361,6,432,49,53,95,71,23,14,5,6,0,4,5,4,8,6,12
Actinopolyspora mortivallis,8,59,38,174,21,34,32,64,93,23,10,0,26,53,75,22,35,4,6,225,555,10,13,13,27,19,9,18,2,20,14,19,0,15,16,49,10,11,91
